Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Macro F1
Logistic Regression,0.7901480008835874,0.830911187241196,0.7901480008835874,0.8067173866286677,0.6213229607165088
Random Forest,0.8104705102717031,0.7747104512593745,0.8104705102717031,0.785082072525088,0.5501097002970043
Decision Tree,0.6255798542080848,0.7378276080128156,0.6255798542080848,0.6671884626885437,0.4539322738239977
