Class,Precision,Recall,F1
Negative,0.5747663551401869,0.3455056179775281,0.43157894736842106
Neutral,0.4161849710982659,0.16981132075471697,0.24120603015075376
Positive,0.8508801062769844,0.9786096256684492,0.9102860188310535
