Class,Precision,Recall,F1
Negative,0.6923076923076923,0.025280898876404494,0.04878048780487805
Neutral,0.35986159169550175,0.24528301886792453,0.29172510518934086
Positive,0.8304263565891473,0.9820473644003056,0.8998949947497376
