Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.7427599189110918,0.7286637646748451,0.7868945868945869,0.7566605027052942,0.8174646139752146
Logistic Regression,0.7449319432377642,0.7377294357579878,0.7729344729344729,0.7549217391304348,0.8173804274510987
Decision Tree,0.7187228496959166,0.7074235807860262,0.7615384615384615,0.733484256019757,0.7873373945885724
